,Bandit,Reward,Algorithm
75,2,4.068054658154007,Thompson Sampling
76,2,3.649475220087734,Thompson Sampling
77,2,3.5043235756804876,Thompson Sampling
78,2,1.485207972105967,Thompson Sampling
79,2,2.957064812476871,Thompson Sampling
80,2,1.7886030054934499,Thompson Sampling
81,2,1.9773983507881632,Thompson Sampling
82,2,2.6142800631804017,Thompson Sampling
83,2,1.6325062664501626,Thompson Sampling
84,2,4.281292006240876,Thompson Sampling
85,2,2.428561060415609,Thompson Sampling
86,2,2.801258553424046,Thompson Sampling
87,2,2.08741215878412,Thompson Sampling
88,2,2.8583977758888874,Thompson Sampling
89,2,0.6565574824529388,Thompson Sampling
90,2,3.6437545328164784,Thompson Sampling
91,2,3.3082437489569654,Thompson Sampling
92,2,2.0916858070535516,Thompson Sampling
93,2,4.759768279977066,Thompson Sampling
94,2,3.5854698532143963,Thompson Sampling
95,2,2.5769169136225623,Thompson Sampling
96,2,3.5028477136319265,Thompson Sampling
97,2,4.140441790656801,Thompson Sampling
98,2,3.00946412124435,Thompson Sampling
99,2,4.896428021445608,Thompson Sampling
100,2,0.6175248486555938,Thompson Sampling
101,2,3.9540415094772,Thompson Sampling
102,2,1.17968037498518,Thompson Sampling
103,2,2.231545956609933,Thompson Sampling
104,2,2.3288327239511553,Thompson Sampling
105,2,3.866417340661598,Thompson Sampling
106,2,2.9426276436796797,Thompson Sampling
107,2,2.236686431771973,Thompson Sampling
108,2,4.105128098412537,Thompson Sampling
109,2,3.9382264768541706,Thompson Sampling
110,3,3.9634799723377143,Thompson Sampling
111,2,2.5614540809969983,Thompson Sampling
112,2,3.9108498933038476,Thompson Sampling
113,2,2.3778023872099783,Thompson Sampling
114,2,2.7230824987681626,Thompson Sampling
115,2,3.086486460296517,Thompson Sampling
116,2,2.4835957123734116,Thompson Sampling
117,2,2.6388436915272466,Thompson Sampling
118,2,3.7775184371635238,Thompson Sampling
119,2,1.736888547683057,Thompson Sampling
120,2,3.4892913343762966,Thompson Sampling
121,2,2.1885985438418465,Thompson Sampling
122,2,3.794493199693976,Thompson Sampling
123,2,3.2214051224709017,Thompson Sampling
124,2,4.204517381641486,Thompson Sampling
125,2,2.523836698662308,Thompson Sampling
126,2,2.8204084161310825,Thompson Sampling
127,2,2.4445446840626115,Thompson Sampling
128,3,2.783162099715728,Thompson Sampling
129,2,3.1243074739480416,Thompson Sampling
130,2,3.2672544548426115,Thompson Sampling
131,2,2.6551882782151157,Thompson Sampling
132,2,1.957318341299029,Thompson Sampling
133,2,2.998266013399157,Thompson Sampling
134,2,2.4893980708135404,Thompson Sampling
135,2,3.6568654042812487,Thompson Sampling
136,2,3.4761892135543024,Thompson Sampling
137,2,3.4220740442644626,Thompson Sampling
138,2,4.154345457545895,Thompson Sampling
139,2,3.4267632991678147,Thompson Sampling
140,2,4.3329553473274744,Thompson Sampling
141,2,1.3859929596309595,Thompson Sampling
142,2,4.451804841570771,Thompson Sampling
143,2,2.640228855888446,Thompson Sampling
144,2,3.0064806679067404,Thompson Sampling
145,2,2.55545165338244,Thompson Sampling
146,2,2.514867929023702,Thompson Sampling
147,2,4.005865407414605,Thompson Sampling
148,3,4.181199979782162,Thompson Sampling
149,2,2.0551801601587583,Thompson Sampling
150,2,3.2946627101349257,Thompson Sampling
151,3,4.593013408993263,Thompson Sampling
152,2,2.0673044028979133,Thompson Sampling
153,3,2.799579694389043,Thompson Sampling
154,2,2.8335552001482176,Thompson Sampling
155,2,0.9761878259064329,Thompson Sampling
156,3,3.055264089547653,Thompson Sampling
157,3,4.907812374633545,Thompson Sampling
158,3,3.2266345576679845,Thompson Sampling
159,2,2.1444808764607775,Thompson Sampling
160,2,4.984315540332357,Thompson Sampling
161,3,2.7505648214206753,Thompson Sampling
162,2,3.740216023507233,Thompson Sampling
163,3,3.8306615427915043,Thompson Sampling
164,3,5.576799083636096,Thompson Sampling
165,3,3.2746567418462416,Thompson Sampling
166,3,4.250226501843823,Thompson Sampling
167,3,5.0049199902801185,Thompson Sampling
168,3,4.078085038467717,Thompson Sampling
169,3,3.340986579181729,Thompson Sampling
170,3,4.532775258173329,Thompson Sampling
171,3,4.1101853875587215,Thompson Sampling
172,3,4.554582514379248,Thompson Sampling
173,3,4.622036923568826,Thompson Sampling
174,3,3.6801501510945935,Thompson Sampling
175,3,4.195368359570774,Thompson Sampling
176,3,4.2788500009506265,Thompson Sampling
177,3,5.205168155942863,Thompson Sampling
178,3,2.63962028761354,Thompson Sampling
179,3,4.483554449266503,Thompson Sampling
180,3,3.406040952394687,Thompson Sampling
181,3,4.230327198096887,Thompson Sampling
182,3,3.4454288240091078,Thompson Sampling
183,3,4.215666519530931,Thompson Sampling
184,3,2.6857970707707466,Thompson Sampling
185,3,2.7183909718415182,Thompson Sampling
186,3,2.593659778666284,Thompson Sampling
187,3,2.6976509666071466,Thompson Sampling
188,3,3.707159406286337,Thompson Sampling
189,3,4.766082713003136,Thompson Sampling
190,3,3.9243542794230355,Thompson Sampling
191,3,4.284512340896122,Thompson Sampling
192,3,4.904861406040309,Thompson Sampling
193,3,3.452240047010748,Thompson Sampling
194,3,5.5171692297263455,Thompson Sampling
195,3,3.009754794664468,Thompson Sampling
196,3,4.102916000688084,Thompson Sampling
197,3,4.519935301345473,Thompson Sampling
198,3,4.029025879100719,Thompson Sampling
199,3,4.271332441518227,Thompson Sampling
200,3,3.9436343705542902,Thompson Sampling
201,3,6.160810370353618,Thompson Sampling
202,3,3.739260397313552,Thompson Sampling
203,3,3.426424954555415,Thompson Sampling
204,3,5.596309208890238,Thompson Sampling
205,3,4.210080227524867,Thompson Sampling
206,3,6.095224425503932,Thompson Sampling
207,3,3.1775946335430048,Thompson Sampling
208,3,5.025298180786317,Thompson Sampling
209,3,2.891176273858134,Thompson Sampling
210,3,2.273281384355581,Thompson Sampling
211,3,5.111239348111461,Thompson Sampling
212,3,5.057097230954634,Thompson Sampling
213,3,4.166882064219401,Thompson Sampling
214,3,3.8748024745216867,Thompson Sampling
215,3,4.00236923022157,Thompson Sampling
216,3,4.588512551763481,Thompson Sampling
217,3,3.9012120263081576,Thompson Sampling
218,3,2.845758614899556,Thompson Sampling
219,3,2.2242624716787875,Thompson Sampling
220,3,3.246820675455666,Thompson Sampling
221,3,6.127279247565987,Thompson Sampling
222,3,4.486408863635139,Thompson Sampling
223,3,2.166965118994574,Thompson Sampling
224,3,3.69418113654475,Thompson Sampling
225,3,4.294149284990004,Thompson Sampling
226,3,4.2931386980651345,Thompson Sampling
227,3,3.4192984546817575,Thompson Sampling
228,3,3.4109121376160227,Thompson Sampling
229,3,4.0062448675895785,Thompson Sampling
230,3,1.7598960737957081,Thompson Sampling
231,3,3.2937138365107392,Thompson Sampling
232,3,3.1737270308919867,Thompson Sampling
233,3,4.763453130119927,Thompson Sampling
234,3,3.4947312270066018,Thompson Sampling
235,3,4.996837345149018,Thompson Sampling
236,3,2.356378969980308,Thompson Sampling
237,3,4.498333489504016,Thompson Sampling
238,3,5.161077681253829,Thompson Sampling
239,3,3.167201593816073,Thompson Sampling
240,3,3.256146484156358,Thompson Sampling
241,3,3.505902611806454,Thompson Sampling
242,3,3.553367222887003,Thompson Sampling
243,3,3.3420622750404925,Thompson Sampling
244,3,5.510493489350385,Thompson Sampling
245,3,4.909619972231046,Thompson Sampling
246,3,5.39123654308523,Thompson Sampling
247,3,3.3928057266270217,Thompson Sampling
248,3,3.595307031719159,Thompson Sampling
249,3,5.15320078575688,Thompson Sampling
250,3,6.530454109670303,Thompson Sampling
251,3,4.853190000456259,Thompson Sampling
252,3,5.561178293081062,Thompson Sampling
253,3,1.8963488546951175,Thompson Sampling
254,3,1.559452310455789,Thompson Sampling
255,3,4.275221438222465,Thompson Sampling
256,3,4.684025314169749,Thompson Sampling
257,3,3.6797353975948464,Thompson Sampling
258,3,3.8901945373477598,Thompson Sampling
259,3,4.36680071366454,Thompson Sampling
260,3,4.12203277029555,Thompson Sampling
261,3,5.710980600865219,Thompson Sampling
262,3,3.7429542272353897,Thompson Sampling
263,3,2.6339270449900196,Thompson Sampling
264,3,4.766998748735308,Thompson Sampling
265,3,2.9084326456924208,Thompson Sampling
266,3,3.7761283321999426,Thompson Sampling
267,3,3.268056986738792,Thompson Sampling
268,3,3.680859518270998,Thompson Sampling
269,3,2.59282559461654,Thompson Sampling
270,3,4.622316874310119,Thompson Sampling
271,3,3.2453975495856366,Thompson Sampling
272,3,3.6610896819648016,Thompson Sampling
273,3,3.2206552624936178,Thompson Sampling
